collision_id,crash_date,crash_time,borough,latitude,longitude
4456692,2021-07-03,10:18:00,QUEENS,40.59723,-73.76237
4456921,2021-09-11,14:40:00,BROOKLYN,40.67393,-73.999954
4456768,2021-09-07,08:03:00,STATEN ISLAND,40.634007,-74.07516
4455757,2021-09-11,07:09:00,BROOKLYN,40.599907,-73.94664
4457032,2021-09-07,03:00:00,QUEENS,40.748318,-73.87742
4456572,2021-07-07,18:04:00,BRONX,40.8502,-73.8302
4455822,2021-09-11,07:33:00,BROOKLYN,40.611477,-73.94883
4456721,2021-09-08,08:43:00,MANHATTAN,40.82207,-73.94993
4456819,2021-09-09,12:00:00,QUEENS,40.72013,-73.79038
4456609,2021-07-07,17:13:00,QUEENS,40.688435,-73.78765
4456078,2021-09-11,18:03:00,BRONX,40.84964,-73.89661
4456688,2021-07-09,10:38:00,BROOKLYN,40.63874,-73.8952
4456395,2021-09-11,02:00:00,BROOKLYN,40.608364,-73.95727
4456791,2021-09-10,17:08:00,MANHATTAN,40.79194,-73.95281
4456614,2021-07-08,17:55:00,MANHATTAN,40.718792,-73.98902
4456953,2021-09-10,21:03:00,MANHATTAN,40.710697,-73.984634
4456563,2021-07-04,04:00:00,QUEENS,40.763496,-73.87814
4456656,2021-07-08,21:19:00,QUEENS,40.686646,-73.849075
4457006,2021-09-10,17:39:00,BRONX,40.87739,-73.8665
4456595,2021-07-08,13:26:00,BROOKLYN,40.731613,-73.9545
4456903,2021-09-01,19:30:00,QUEENS,40.678364,-73.77949
4456982,2021-09-10,15:20:00,MANHATTAN,40.724274,-74.01136
4456235,2021-09-11,11:25:00,BRONX,40.868164,-73.90054
4455935,2021-09-11,21:30:00,BROOKLYN,40.66169,-73.96143
4456710,2021-07-09,12:30:00,BRONX,40.87037,-73.87052
4457021,2021-09-05,21:18:00,QUEENS,40.69674,-73.76292
4456134,2021-09-11,23:20:00,QUEENS,40.66615,-73.80575
4403773,2021-03-31,22:20:00,BROOKLYN,40.626457,-73.918
4405244,2021-04-06,22:58:00,STATEN ISLAND,40.526894,-74.16728
4408143,2021-04-16,16:35:00,BRONX,40.890076,-73.819855
4407638,2021-04-15,17:20:00,BROOKLYN,40.650402,-73.89422
4408038,2021-04-16,23:20:00,BROOKLYN,40.649788,-73.9622
4407821,2021-04-14,15:16:00,BROOKLYN,40.633976,-74.02211
4408259,2021-04-13,20:34:00,BROOKLYN,40.668495,-73.925606
4408396,2021-04-14,21:04:00,BROOKLYN,40.700356,-73.95732
4407792,2021-04-16,11:00:00,QUEENS,40.74958,-73.86541
4407853,2021-04-16,17:00:00,QUEENS,40.73197,-73.78651
4408242,2021-04-12,16:08:00,BROOKLYN,40.696735,-73.93481
4407798,2021-04-16,08:05:00,QUEENS,40.775414,-73.91984
4407797,2021-04-15,20:13:00,BRONX,40.84744,-73.89968
4407349,2021-04-14,16:30:00,STATEN ISLAND,40.542908,-74.15579
4408032,2021-04-15,16:37:00,BROOKLYN,40.632416,-73.94724
4407478,2021-04-15,06:05:00,BROOKLYN,40.714207,-73.92817
4407924,2021-04-16,08:40:00,QUEENS,40.727913,-73.873245
4407539,2021-04-14,00:00:00,BROOKLYN,40.64664,-73.9246
4407830,2021-04-15,22:25:00,MANHATTAN,40.760822,-73.99832
4408290,2021-04-16,20:26:00,MANHATTAN,40.836555,-73.94306
4407277,2021-04-14,08:03:00,MANHATTAN,40.748825,-73.96984
4407829,2021-04-15,12:26:00,MANHATTAN,40.751446,-74.001434
4456397,2021-09-11,22:15:00,BRONX,40.86418,-73.90119
4407441,2021-04-14,16:00:00,QUEENS,40.741634,-73.88266
4407856,2021-04-16,09:25:00,BROOKLYN,40.693462,-73.965485
4407729,2021-04-15,16:00:00,BROOKLYN,40.66725,-73.88799
