"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4514376","BROOKLYN","2022-03-25","18:13:00","Sedan","Sedan","Sedan","Unspecified","No additional car involved","No additional car involved"
"4513982","BRONX","2022-03-26","20:10:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4513664","BROOKLYN","2022-03-26","03:05:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4513725","BRONX","2022-03-26","04:34:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4513803","BROOKLYN","2022-03-26","17:54:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Passing Too Closely","No additional car involved","No additional car involved"
"4513735","MANHATTAN","2022-03-26","19:50:00","E-Bike","BOX VAN","No additional car involved","Passenger Distraction","No additional car involved","No additional car involved"
"4514367","BROOKLYN","2022-03-25","08:45:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4513860","BROOKLYN","2022-03-26","16:40:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Passing or Lane Usage Improper","No additional car involved","No additional car involved"
"4514302","MANHATTAN","2022-03-20","10:34:00","Sedan","No additional car involved","No additional car involved","Backing Unsafely","No additional car involved","No additional car involved"
"4514326","BROOKLYN","2022-03-26","17:29:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4513739","MANHATTAN","2022-03-26","02:10:00","Bike","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4513701","STATEN ISLAND","2022-03-26","13:20:00","Station Wagon/Sport Utility Vehicle","4 dr sedan","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4514046","BROOKLYN","2022-03-26","13:28:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4513772","QUEENS","2022-03-26","21:29:00","Bike","No additional car involved","No additional car involved","Unsafe Speed","No additional car involved","No additional car involved"
"4514221","BRONX","2022-03-25","13:21:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4514277","BRONX","2022-03-22","08:20:00","Sedan","Bike","No additional car involved","Turning Improperly","No additional car involved","No additional car involved"
"4513994","BRONX","2022-03-26","03:23:00","Box Truck","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4485893","BRONX","2021-12-10","08:50:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Other Vehicular","Other Vehicular","No additional car involved"
"4485153","MANHATTAN","2021-12-09","17:00:00","Taxi","Bike","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4456087","STATEN ISLAND","2021-09-11","17:15:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456608","STATEN ISLAND","2021-07-08","17:17:00","Sedan","Sedan","No additional car involved","Lost Consciousness","No additional car involved","No additional car involved"
"4456735","STATEN ISLAND","2021-09-09","11:39:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Passing or Lane Usage Improper","No additional car involved","No additional car involved"
"4455941","QUEENS","2021-09-11","15:00:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456778","QUEENS","2021-09-10","10:20:00","Sedan","Sedan","No additional car involved","Failure to Yield Right-of-Way","Unsafe Speed","No additional car involved"
"4455894","BRONX","2021-09-11","18:50:00","Station Wagon/Sport Utility Vehicle","Refrigerated Van","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4455969","QUEENS","2021-09-11","05:30:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4455841","MANHATTAN","2021-09-11","12:55:00","Station Wagon/Sport Utility Vehicle","Bike","No additional car involved","Passing or Lane Usage Improper","Other Vehicular","No additional car involved"
"4456683","BROOKLYN","2021-07-08","15:30:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
